;AT-42/12;AT-48/20;AT-48/22;AT-42/30;A1-42/8;A1-42/12;A1-48/20;A1-48/22;A1-42/30;A1-48/32;A1-42/34;A1-48/40;A1-42/42;A1-48/50;A1-48/52;A1-42/60;A1-42/62;A1-19/63;AT-79/11;A1-09/9;A1-20/7;AT-22/7;AT-09/9;AT-48/10;A1-48/10;AT-53/26;AT-66/26;;
5T23;FUP0353 - EDUCAÇÃO AMBIENTAL E ENSINO DE CIÊNCIAS; FUP0355 - CÉLULA - T1;EducAção;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T1;PPGCA0042 - PENSAMENTO CIENTÍFICO E ESTRUTURAÇÃO DE PROJETOS;FUP0161 - AGROECOLOGIA; FUP0336 - PESQUISA OPERACIONAL;PPGCA0078 - ESCRITA TÉCNICA E PUBLICAÇÃO CIENTÍFICA;Ledoc;FUP0528 - ZOOLOGIA - T1; FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T1;Ledoc;FUP0320 - SAÚDE E AMBIENTE 1 - T1;Ledoc;Ledoc;Ledoc;FUP0199 - GENÉTICA E EVOLUÇÃO - T1;FUP0345 - SISTEMA DE INFORMAÇÃO E AGRONEGÓCIO - T1;;;;;PPGCA0088 - TECNOLOGIAS EM ANÁLISE URBANA E AMBIENTAL;;;;;
5T45;; FUP0355 - CÉLULA - T1;EducAção;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T1;PPGCA0042 - PENSAMENTO CIENTÍFICO E ESTRUTURAÇÃO DE PROJETOS;FUP0161 - AGROECOLOGIA;FUP0346 - ANÁLISE DE DECISÕES E ADMINISTRAÇÃO DE RISCOS;PPGCA0078 - ESCRITA TÉCNICA E PUBLICAÇÃO CIENTÍFICA;Ledoc;FUP0528 - ZOOLOGIA - T1; FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T1;Ledoc;FUP0320 - SAÚDE E AMBIENTE 1 - T1;Ledoc;Ledoc;Ledoc;FUP0199 - GENÉTICA E EVOLUÇÃO - T1;FUP0026 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 2;;;;;PPGCA0088 - TECNOLOGIAS EM ANÁLISE URBANA E AMBIENTAL;;;;;
5N12;;FUP0553 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 1 -  T1;;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T2;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T2; FUP0434 - CLIMATOLOGIA E MUDANÇAS CLIMÁTICAS GLOBAIS;FUP0267 - ESTADO POLÍTICA AMBIENTE E SUSTENTABILIDADE;MAT0025 - CÁLCULO 1 - T1; FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T5;FUP0528 - ZOOLOGIA - T2;MAT0022 - MATEMATICA 1;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T2;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL;FUP0320 - SAÚDE E AMBIENTE 1 - T2;FUP0545 - AGRICULTURA E MEIO AMBIENTE;FUP0435 - TEORIA DO DESENVOLVIMENTO SUSTENTÁVEL;Ledoc;FUP0525 - GESTÃO AMBIENTAL EMPRESARIAL;FUP0527 - BOTÂNICA - T2;;;;;;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T2;;
5N34;;;;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T2;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T2;;FUP0267 - ESTADO POLÍTICA AMBIENTE E SUSTENTABILIDADE;MAT0025 - CÁLCULO 1 - T1;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T5;FUP0528 - ZOOLOGIA - T2;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T2;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL;FUP0320 - SAÚDE E AMBIENTE 1 - T2;FUP0545 - AGRICULTURA E MEIO AMBIENTE;FUP0240 - TEORIA, CONCEITOS E METODOLOGIAS EM EDUCAÇÃO AMBIENTAL ;Ledoc;FUP0529 - COMERCIALIZAÇÃO DE PRODUTOS AMBIENTAIS E MARKETING AMBIENTAL;FUP0527 - BOTÂNICA - T2;;;;;;;IGD0021 - GEOLOGIA GERAL - T9;FUP0350 - ENSINO DE GEOCIÊNCIAS - T2;;
6M12;PPGCA3788 - FISIOLOGIA DA PAISAGEM;FUP0334 - GESTÃO DA QUALIDADE;EducAção;FUP0280 - ECONOMIA APLICADA AO AGRONEGÓCIO 1;FUP0501 - EXTENSÃO RURAL NO AGRONEGÓCIO;FUP0125 - CIÊNCIA, TECNOLOGIA, SOCIEDADE: UMA INTRODUÇÃO;;;Ledoc;;;;Ledoc;FUP0411 - GESTÃO AMBIENTAL;Ledoc;Ledoc;Ledoc;;;;;;;FUP0311 - METODOLOGIA DE PESQUISA;;;IGD0021 - GEOLOGIA GERAL - T4;;
6M34;PPGCA3788 - FISIOLOGIA DA PAISAGEM;FUP0334 - GESTÃO DA QUALIDADE;EducAção;FUP0344 - REGULAÇÃO E POLÍTICAS PÚBLICAS;FUP0277 - INTRODUÇÃO AO AGRONEGÓCIO;FUP0125 - CIÊNCIA, TECNOLOGIA, SOCIEDADE: UMA INTRODUÇÃO;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS VEGETAIS;;Ledoc;;;;Ledoc;FUP0411 - GESTÃO AMBIENTAL;Ledoc;Ledoc;Ledoc;;;;;;;FUP0311 - METODOLOGIA DE PESQUISA;;;IGD0021 - GEOLOGIA GERAL - T4;;
6T23;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T1;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T1;EducAção;FUP0289 - CONTABILIDADE GERENCIAL;;FUP0372 - SISTEMAS AGROINDUSTRIAIS NO CENTRO-OESTE;FUP0161 - AGROECOLOGIA;FUP0325 - EXPERIMENTOS DE QUÍMICA PARA O ENSINO MÉDIO;Ledoc;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T1;PPGCA0077 - PRÁTICAS DE CAMPO EM CIÊNCIAS AMBIENTAIS;;Ledoc;FUP0361 - MEIO AMBIENTE E CIDADANIA ;Ledoc;Ledoc;Ledoc;;;;; FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T1;;;;;;;
6T45;;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T1;EducAção;;;FUP0372 - SISTEMAS AGROINDUSTRIAIS NO CENTRO-OESTE;FUP0161 - AGROECOLOGIA;FUP0325 - EXPERIMENTOS DE QUÍMICA PARA O ENSINO MÉDIO;Ledoc;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T1;PPGCA0077 - PRÁTICAS DE CAMPO EM CIÊNCIAS AMBIENTAIS;;Ledoc;FUP0361 - MEIO AMBIENTE E CIDADANIA ;Ledoc;Ledoc;Ledoc;;;;;FUP0246 -  LABORATÓRIO DE QUÍMICA 1 - T2;;;;;;;
6N12;;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T2;;;;FUP0521 - ADMINISTRAÇÃO PÚBLICA;;MAT0025 - CÁLCULO 1 - T1;;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T2;FUP0567 - ESTATÍSTICA BÁSICA - T2;;;;ECO0019 - INTRODUÇÃO À ECONOMIA;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL T11;Ledoc;;FUP0263 - INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS - T1;;; FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T3;;;;;IGD0021 - GEOLOGIA GERAL - T3;;
6N34;;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T2;;;;FUP0521 - ADMINISTRAÇÃO PÚBLICA;;FUP0348 - INTRODUÇÃO AO CÁLCULO -  T2;;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T2;FUP0567 - ESTATÍSTICA BÁSICA - T2;;;;ECO0019 - INTRODUÇÃO À ECONOMIA;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL T11;Ledoc;;FUP0263 - INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS - T1;;;;;;;;IGD0021 - GEOLOGIA GERAL - T3;;
