;A1-09/9;A1-19/63;A1-42/12;A1-42/30;A1-42/42;A1-42/60;A1-42/62;A1-48/22;A1-48/50;A1-48/52;AT-09/9;AT-22/7;AT-42/12;AT-42/30;AT-44/56;AT-48/22;AT-54/9;AT-66/26;AT-78/46;AT-79/11
3T23;;FUP0161 - AGROECOLOGIA - T01;FUP0030 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 4 - T02;FUP0335 - GESTÃO DE PESSOAS - T02;;;;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T01;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T01;;;FUP0244 - QUÍMICA E ANÁLISE DO AMBIENTE - T01;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T02;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T02;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T02;FUP0353 - EDUCAÇÃO AMBIENTAL E ENSINO DE CIÊNCIAS - T01;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T06;FUP0249 - TÓPICOS ESPECIAIS EM GEOCIÊNCIAS - T03;;FUP0345 - SISTEMA DE INFORMAÇÃO E AGRONEGÓCIO - T01
3T45;;FUP0161 - AGROECOLOGIA - T01;FUP0030 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 4 - T02;;;;;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T01;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T01;;;FUP0244 - QUÍMICA E ANÁLISE DO AMBIENTE - T01;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T02;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T02;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T02;;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T06;;;FUP0026 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 2 - T01
4M12;;;FUP0008 - EDUCAÇÃO E LUDICIDADE NO ENSINO DE CIÊNCIAS - T01;FUP0295 - SISTEMAS AGROINDUTRIAIS - T02;;;;MAT0025 - CÁLCULO 1 - T20;;;;;FUP0446 - GESTÃO DE NEGÓCIOS INTERNACIONAIS - T02;FUP0343 - INOVAÇÃO TECNOLÓGICA - T01;;MAT0027 - CÁLCULO 3 - T01;;;;
4M34;;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS - PRIMAS VEGETAIS - T02;FUP0008 - EDUCAÇÃO E LUDICIDADE NO ENSINO DE CIÊNCIAS - T01;FUP0410 - TECNOLOGIAS DE PRODUTOS AGROINDUSTRIAIS - T02;;;;MAT0025 - CÁLCULO 1 - T20;FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO - T01;;;;FUP0368 - NOVA ECONOMIA INSTITUCIONAL - T01;FUP0128 - ECONOMIA BRASILEIRA CONTEMPORÂNEA - T01;FUP0270 - DIREITO NO AGRONEGÓCIO E LEGISLAÇÃO TRIBUTÁRIA - T02;FUP0181 - EDUCAÇÃO FINANCEIRA - T01;;FAR0035 - CIÊNCIA ALÉM DA CIÊNCIA - T02;;FUP0568 - INTRODUÇÃO AS PRÁTICAS E A PESQUISA DO GESTOR DO AGRONEGÓCIO - T01
4N12;;FUP0199 - GENÉTICA E EVOLUÇÃO - T01;FUP0549 - INSTRUMENTOS DE AVALIAÇÃO DE IMPACTO AMBIENTAL - T01;ADM0023 - INTRODUÇÃO À ADMINISTRAÇÃO - T01;FUP0441 - SOCIOLOGIA DO AMBIENTALISMO - T01;FUP0320 - SAÚDE E AMBIENTE 1 - T01;FUP0200 - FUNDAMENTOS EM ECOLOGIA DE POPULAÇÕES E COMUNIDADES - T01;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T02;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T02;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T03;;;FUP0522 - PLANEJAMENTO AMBIENTAL - T01;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T01;FUP0302 - SISTEMAS ECOLÓGICOS - T01;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL - T01;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T02;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T02;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T01
4N34;;FUP0199 - GENÉTICA E EVOLUÇÃO - T01;FUP0549 - INSTRUMENTOS DE AVALIAÇÃO DE IMPACTO AMBIENTAL - T01;ADM0023 - INTRODUÇÃO À ADMINISTRAÇÃO - T01;FUP0441 - SOCIOLOGIA DO AMBIENTALISMO - T01;FUP0320 - SAÚDE E AMBIENTE 1 - T01;FUP0200 - FUNDAMENTOS EM ECOLOGIA DE POPULAÇÕES E COMUNIDADES - T01;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T02;FUP0218 - SIMULAÇÃO EM ENSINO DE FÍSICA - T01;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T03;;;FUP0522 - PLANEJAMENTO AMBIENTAL - T01;;FUP0302 - SISTEMAS ECOLÓGICOS - T01;;;FUP0316 - UNIVERSO - T02;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T02;FUP0351 - LUZ E SOM - T02
4T23;;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T01;FUP0355 - CÉLULA - T02;;;;MAT0026 - CÁLCULO 2 - T01;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T01;;;;FUP0277 - INTRODUÇÃO AO AGRONEGÓCIO - T01;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T02;;;;;;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T02
4T45;;;FUP0289 - CONTABILIDADE GERENCIAL - T01;FUP0355 - CÉLULA - T02;;;;MAT0026 - CÁLCULO 2 - T01;;;;;FUP0312 - PESQUISA E EXTENSÃO - T01;;;;;FUP0316 - UNIVERSO - T01;;FUP0351 - LUZ E SOM - T01
5M12;;FUP0308 - MARKETING NO AGRONEGÓCIO - T01;FUP0544 - BIOQUÍMICA E ELEMENTOS DE FARMACOQUÍMICA - T01;;;;;;FUP0445 - ELABORAÇÃO E ANÁLISE DE PROJETOS AGROINDUSTRIAIS - T01;;;;FUP0282 - ADMINISTRAÇÃO FINANCEIRA - T01;FUP0414 - TRANSPORTE E LOGÍSTICA AGROINDUSTRIAL - T01;;;;;;
5M34;FUP0527 - BOTÂNICA - T02;FUP0281 - ADMINISTRAÇÃO APLICADA AO AGRONEGÓCIO - T01;FUP0544 - BIOQUÍMICA E ELEMENTOS DE FARMACOQUÍMICA - T01;FUP0339 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO - T01;;;;FUP0310 - ESTATÍSTICA APLICADA À GESTÃO DO AGRONEGÓCIO - T01;FUP0342 - PLANEJAMENTO ESTRATÉGICO E EMPRESARIAL - T01;;;;FUP0293 - ECONOMIA APLICADA AO AGRONEGÓCIO 2 - T01;FUP0369 - GESTÃO DA CADEIA DE SUPRIMENTOS - T01;FUP0332 - RECURSOS DIDÁTICOS PARA O ENSINO DE CIÊNCIAS - T01;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T02;;;;FUP0333 - CUSTOS AGROINDUSTRIAIS - T02
5N12;;FUP0528 - ZOOLOGIA - T01;FUP0525 - GESTÃO AMBIENTAL EMPRESARIAL - T01;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL - T01;FUP0548 - GESTÃO DE EFLUENTES LÍQUIDOS E ÁGUAS RESIDUAIS - T01;FUP0434 - CLIMATOLOGIA E MUDANÇAS CLIMÁTICAS GLOBAIS - T01;FUP0240 - TEORIA, CONCEITOS E METODOLOGIAS EM EDUCAÇÃO AMBIENTAL - T01;MAT0025 - CÁLCULO 1 - T02;MAT0022 - MATEMÁTICA 1 - T01;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T01;;;FUP0545 - AGRICULTURA E MEIO AMBIENTE - T01;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T01;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T04;FUP0527 - BOTÂNICA - T01;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T05;FUP0350 - ENSINO DE GEOCIÊNCIAS - T01;;FUP0553 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 1 - T01
5N34;;FUP0528 - ZOOLOGIA - T01;FUP0529 - COMERCIALIZAÇÃO DE PRODUTOS AMBIENTAIS E MARKETING AMBIENTAL - T01;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL - T01;FUP0548 - GESTÃO DE EFLUENTES LÍQUIDOS E ÁGUAS RESIDUAIS - T01;;FUP0435 - TEORIA DO DESENVOLVIMENTO SUSTENTÁVEL - T01;MAT0025 - CÁLCULO 1 - T02;MAT0023 - MATEMÁTICA 2 - T03;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T01;;;FUP0545 - AGRICULTURA E MEIO AMBIENTE - T01;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T01;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T04;FUP0527 - BOTÂNICA - T01;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T05;FUP0350 - ENSINO DE GEOCIÊNCIAS - T01;;FUP0560 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 2 - T01
5T23;;FUP0528 - ZOOLOGIA - T02;FUP0412 - GESTÃO DE COOPERATIVAS - T01;FUP0335 - GESTÃO DE PESSOAS - T02;;;;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T01;FUP0320 - SAÚDE E AMBIENTE 1 - T02;;;;FUP0162 - ADOLESCÊNCIA NA ESCOLA - T01;FUP0199 - GENÉTICA E EVOLUÇÃO - T02;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T02;TEF0079 - O EDUCANDO COM NECESSIDADES EDUCACIONAIS ESPECIAIS - T01;;;FUP0345 - SISTEMA DE INFORMAÇÃO E AGRONEGÓCIO - T01
5T45;;FUP0528 - ZOOLOGIA - T02;FUP0412 - GESTÃO DE COOPERATIVAS - T01;;;;;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T01;FUP0320 - SAÚDE E AMBIENTE 1 - T02;;;;FUP0162 - ADOLESCÊNCIA NA ESCOLA - T01;FUP0199 - GENÉTICA E EVOLUÇÃO - T02;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T02;TEF0079 - O EDUCANDO COM NECESSIDADES EDUCACIONAIS ESPECIAIS - T01;;;
6M12;BOT0058 - BOTÂNICA EM CAMPO - T04;;FUP0280 - ECONOMIA APLICADA AO AGRONEGÓCIO 1 - T01;FUP0334 - GESTÃO DA QUALIDADE - T02;;;;;FUP0030 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 4 - T04;;;;FUP0311 - METODOLOGIA DE PESQUISA - T02;;FUP0306 - SOCIOLOGIA - T01;;;IGD0021 - GEOLOGIA GERAL - T04;;
6M34;BOT0058 - BOTÂNICA EM CAMPO - T04;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS - PRIMAS VEGETAIS - T02;FUP0344 - REGULAÇÃO E POLÍTICAS PÚBLICAS - T02;FUP0334 - GESTÃO DA QUALIDADE - T02;;;;;FUP0030 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 4 - T04;;;;FUP0311 - METODOLOGIA DE PESQUISA - T02;;FUP0306 - SOCIOLOGIA - T01;;;IGD0021 - GEOLOGIA GERAL - T04;;FUP0270 - DIREITO NO AGRONEGÓCIO E LEGISLAÇÃO TRIBUTÁRIA - T02
6N12;;FUP0265 - BIOLOGIA GERAL APLICADA A GESTÃO AMBIENTAL - T01;FUP0526 - GESTÃO E INOVAÇÃO TECNOLÓGICA - T01;;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T06;;MAT0025 - CÁLCULO 1 - T02;FUP0546 - ESTATÍSTICA E ECOLOGIA NUMÉRICA - T01;FUP0533 - RECUPERAÇÃO ÁREAS DEGRADADAS - T02;FUP0246 - LABORATÓRIO DEQUÍMICA 1 - T04;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T01;;;;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL - T01;;IGD0021 - GEOLOGIA GERAL - T03;;FUP0358 - SOCIEDADE E NATUREZA - T01
6N34;;FUP0265 - BIOLOGIA GERAL APLICADA A GESTÃO AMBIENTAL - T01;FUP0526 - GESTÃO E INOVAÇÃO TECNOLÓGICA - T01;;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T06;;FUP0348 - INTRODUÇÃO AO CÁLCULO - T02;FUP0546 - ESTATÍSTICA E ECOLOGIA NUMÉRICA - T01;FUP0533 - RECUPERAÇÃO ÁREAS DEGRADADAS - T02;;;;;;;;IGD0021 - GEOLOGIA GERAL - T03;;FUP0358 - SOCIEDADE E NATUREZA - T01
6T23;;;;;;;;MAT0117 - SEMINÁRIO DE TÓPICOS EM MATEMÁTICA APLICADA - T02;FUP0361 - MEIO AMBIENTE E CIDADANIA - T01;;;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T02;FUP0125 - FUP0125 - CIÊNCIA, TECNOLOGIA, SOCIEDADE: UMA INTRODUÇÃO - T1;;;;;FUP0256 - INTRODUÇÃO A PALEONTOLOGIA - T01;;FUP0028 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 3 - T02
6T45;;;FUP0289 - CONTABILIDADE GERENCIAL - T01;;;;;MAT0117 - SEMINÁRIO DE TÓPICOS EM MATEMÁTICA APLICADA - T02;FUP0361 - MEIO AMBIENTE E CIDADANIA - T01;;;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T03;FUP0125 - FUP0125 - CIÊNCIA, TECNOLOGIA, SOCIEDADE: UMA INTRODUÇÃO - T1;;;;;FUP0256 - INTRODUÇÃO A PALEONTOLOGIA - T01;;FUP0028 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 3 - T02
7M12;;FUP0302 - SISTEMAS ECOLÓGICOS - T01;;FUP0564 - GESTÃO DA BIODIVERSIDADE - T01;;;;;FUP0302 - SISTEMAS ECOLÓGICOS - T02;;;;;;;;;IGD0021 - GEOLOGIA GERAL - T09;;
7M34;;FUP0302 - SISTEMAS ECOLÓGICOS - T01;;FUP0564 - GESTÃO DA BIODIVERSIDADE - T01;;;;;FUP0302 - SISTEMAS ECOLÓGICOS - T02;;;;FUP0408 - TRABALHO DE CONCLUSÃO DE CURSO 1 - T01;;;;;IGD0021 - GEOLOGIA GERAL - T09;;FUP0336 - PESQUISA OPERACIONAL - T01
